City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,mayna,54.1135,47.6231,9.87,47.0,1.0,1.74,RU,1726707130.0
161,la ronge,55.1001,-105.2842,20.14,73.0,75.0,3.09,CA,1726707130.0
162,lompoc,34.6391,-120.4579,18.07,86.0,100.0,3.6,US,1726707130.0
163,nchelenge,-9.3451,28.734,22.67,42.0,0.0,2.1,ZM,1726707130.0
164,kununurra,-15.7667,128.7333,29.99,37.0,76.0,4.63,AU,1726707130.0
165,san antonio de pale,-1.4014,5.6325,24.5,83.0,100.0,4.83,GQ,1726707130.0
166,port hedland,-20.3167,118.5667,32.03,23.0,3.0,5.66,AU,1726707130.0
167,christchurch,-43.5333,172.6333,15.51,53.0,100.0,6.17,NZ,1726707029.0
168,padang,-0.9492,100.3543,25.03,76.0,42.0,0.46,ID,1726706881.0
169,ad dilam,23.9915,47.1627,28.67,28.0,0.0,1.88,SA,1726707131.0
170,cestos city,5.46,-9.5828,24.63,90.0,100.0,3.03,LR,1726707131.0
171,rawai,7.7797,98.3253,26.91,85.0,100.0,11.25,TH,1726707131.0
172,khost,33.3395,69.9204,23.33,51.0,0.0,0.43,AF,1726707131.0
173,sinop,41.7711,34.8709,15.08,98.0,100.0,0.22,TR,1726707131.0
174,dryden,49.7833,-92.7503,25.16,73.0,40.0,1.54,CA,1726707132.0
175,gallivare,,,,,,,,
176,palikir - national government center,6.9248,158.1611,32.41,62.0,40.0,3.09,FM,1726707132.0
177,katsuren-haebaru,26.3369,127.8719,30.21,91.0,100.0,8.75,JP,1726707132.0
178,bisert',56.8617,59.0523,9.91,97.0,14.0,1.93,RU,1726707132.0
179,manokwari,-0.8667,134.0833,29.61,68.0,53.0,6.37,ID,1726707132.0
180,luderitz,-26.6481,15.1594,12.76,77.0,0.0,10.31,NA,1726707132.0
181,vilyuchinsk,52.9306,158.4028,11.15,88.0,100.0,1.8,RU,1726707133.0
182,codrington,-38.2667,141.9667,12.92,62.0,83.0,10.6,AU,1726707133.0
183,x-can,20.8593,-87.6697,27.09,82.0,10.0,1.74,MX,1726707133.0
184,el granada,37.5027,-122.4694,20.79,81.0,20.0,6.69,US,1726707133.0
185,zhosaly,45.4878,64.0781,15.58,33.0,44.0,7.0,KZ,1726707133.0
186,sisimiut,66.9395,-53.6735,3.09,77.0,90.0,0.66,GL,1726707134.0
187,pandan,14.0453,124.1694,29.74,70.0,72.0,4.32,PH,1726707134.0
188,gizo,-8.103,156.8419,28.9,72.0,100.0,1.34,SB,1726707134.0
189,san jose village,,,,,,,,
190,pisco,-13.7,-76.2167,16.03,88.0,100.0,6.69,PE,1726707028.0
191,tralee,52.2704,-9.7026,11.69,92.0,0.0,2.06,IE,1726707134.0
192,beboto,8.2668,16.939,22.62,96.0,100.0,1.99,TD,1726707134.0
193,kaa-khem,51.6833,94.7333,5.1,47.0,0.0,0.63,RU,1726707135.0
194,saki,8.6667,3.3833,20.51,99.0,94.0,1.72,NG,1726707090.0
195,mata-utu,-13.2816,-176.1745,27.1,75.0,90.0,3.69,WF,1726707135.0
196,vorkuta,67.5,64.0,7.73,91.0,100.0,2.51,RU,1726707135.0
197,kerema,-7.9631,145.7785,28.03,81.0,100.0,2.98,PG,1726707135.0
198,hamilton,39.1834,-84.5333,26.65,64.0,40.0,1.54,US,1726707088.0
199,illizi,26.4833,8.4667,33.06,20.0,5.0,4.29,DZ,1726707136.0
